brand,year,age,km_driven,fuel_type,transmission,inspection_grade,owner_type,city,selling_price,km_per_year
Honda,2016,9,122085,Petrol,Manual,B,1st,Bangalore,163551,13565
Maruti,2010,15,198945,Petrol,Manual,C,1st,Delhi,51098,13263
Renault,2013,12,145488,Petrol,Automatic,B,2nd,Mumbai,93274,12124
Maruti,2021,4,67812,Petrol,Manual,D,3rd,Ahmedabad,122035,16953
Hyundai,2022,3,36648,Petrol,Manual,C,1st,Ahmedabad,294526,12216
Mahindra,2013,12,194472,Petrol,Manual,B,1st,Mumbai,90482,16206
Mahindra,2014,11,142109,Petrol,Manual,C,2nd,Kolkata,83508,12919
Hyundai,2010,15,188505,Diesel,Manual,B,1st,Hyderabad,102207,12567
Hyundai,2010,15,145575,Petrol,Manual,A,1st,Kolkata,122828,9705
Hyundai,2016,9,144747,Petrol,Manual,C,1st,Ahmedabad,107682,16083
Maruti,2018,7,75138,Petrol,Manual,B,1st,Ahmedabad,144541,10734
Maruti,2010,15,181455,CNG,Manual,A,2nd,Bangalore,66706,12097
Honda,2011,14,126770,Diesel,Manual,D,1st,Pune,100774,9055
Maruti,2015,10,129740,Diesel,Manual,A,1st,Bangalore,111124,12974
Maruti,2015,10,93330,Petrol,Manual,B,1st,Chennai,87714,9333
Tata,2011,14,223678,Petrol,Automatic,A,2nd,Ahmedabad,91609,15977
Renault,2018,7,96523,Petrol,Manual,B,1st,Hyderabad,156386,13789
Tata,2013,12,136032,Petrol,Manual,B,2nd,Bangalore,85230,11336
Maruti,2022,3,25935,Diesel,Manual,C,1st,Mumbai,275166,8645
Maruti,2016,9,97344,CNG,Automatic,D,1st,Hyderabad,98937,10816
Renault,2015,10,114680,CNG,Automatic,B,1st,Chennai,111924,11468
Maruti,2020,5,54105,Petrol,Automatic,B,1st,Chennai,276945,10821
Maruti,2022,3,50406,Petrol,Manual,C,1st,Kolkata,209458,16802
Honda,2020,5,45900,Petrol,Manual,B,3rd,Ahmedabad,252355,9180
Tata,2012,13,159757,Petrol,Manual,B,1st,Pune,91632,12289
Tata,2017,8,125392,CNG,Manual,A,1st,Mumbai,147859,15674
Maruti,2016,9,141759,Petrol,Automatic,A,1st,Kolkata,133987,15751
Maruti,2018,7,87640,CNG,Manual,B,2nd,Ahmedabad,126956,12520
Renault,2012,13,127790,Petrol,Manual,B,1st,Pune,84645,9830
Maruti,2010,15,250000,Petrol,Automatic,A,1st,Bangalore,79831,16666
Tata,2011,14,148260,Petrol,Manual,A,1st,Ahmedabad,100318,10590
Mahindra,2021,4,64816,Diesel,Manual,A,1st,Mumbai,469080,16204
Tata,2020,5,71070,Petrol,Manual,A,1st,Chennai,280873,14214
Hyundai,2021,4,44488,Petrol,Manual,A,1st,Hyderabad,377856,11122
Maruti,2010,15,190080,Petrol,Manual,B,1st,Bangalore,63722,12672
Honda,2020,5,63260,Petrol,Manual,C,1st,Mumbai,266249,12652
Ford,2014,11,94864,Petrol,Manual,C,1st,Pune,91980,8624
Volkswagen,2019,6,60162,Petrol,Manual,C,2nd,Bangalore,186519,10027
Maruti,2023,2,25320,Diesel,Automatic,B,3rd,Ahmedabad,379154,12660
Maruti,2011,14,175504,Diesel,Manual,A,3rd,Hyderabad,75065,12536
Volkswagen,2012,13,227461,Petrol,Automatic,B,1st,Chennai,118501,17497
Mahindra,2017,8,65144,Diesel,Automatic,B,2nd,Mumbai,289568,8143
Ford,2019,6,70974,Petrol,Automatic,D,2nd,Kolkata,170508,11829
Maruti,2023,2,16542,Diesel,Manual,A,1st,Chennai,382300,8271
Honda,2014,11,148126,Petrol,Manual,C,1st,Pune,107261,13466
Mahindra,2013,12,133476,Petrol,Automatic,B,1st,Pune,144365,11123
Tata,2014,11,174856,Petrol,Automatic,C,3rd,Mumbai,70258,15896
Hyundai,2019,6,60246,Diesel,Manual,B,2nd,Bangalore,280081,10041
Maruti,2015,10,106420,Petrol,Automatic,C,1st,Kolkata,98927,10642
Honda,2021,4,54296,Petrol,Manual,B,2nd,Kolkata,304287,13574
Maruti,2016,9,85761,Petrol,Automatic,B,2nd,Delhi,116429,9529
Hyundai,2023,2,21270,Petrol,Manual,D,2nd,Mumbai,224033,10635
Renault,2022,3,50565,Diesel,Manual,B,2nd,Mumbai,294389,16855
Hyundai,2018,7,59164,Diesel,Manual,C,2nd,Chennai,199121,8452
Toyota,2010,15,223680,CNG,Manual,A,3rd,Delhi,93112,14912
Maruti,2013,12,175176,Petrol,Manual,A,1st,Kolkata,75429,14598
Tata,2021,4,42172,Petrol,Automatic,B,2nd,Pune,314270,10543
Renault,2021,4,50780,Diesel,Manual,B,1st,Ahmedabad,296117,12695
Maruti,2018,7,85988,Diesel,Manual,B,2nd,Ahmedabad,167780,12284
Maruti,2014,11,150623,Petrol,Manual,A,2nd,Delhi,75946,13693
Hyundai,2017,8,73848,Diesel,Automatic,C,1st,Delhi,259368,9231
Maruti,2021,4,50316,Diesel,Manual,A,1st,Delhi,336316,12579
Mahindra,2010,15,228540,Petrol,Automatic,D,1st,Ahmedabad,75955,15236
Volkswagen,2013,12,176880,Diesel,Manual,B,1st,Hyderabad,122551,14740
Hyundai,2021,4,55232,Petrol,Manual,B,2nd,Kolkata,291215,13808
Maruti,2023,2,23012,CNG,Manual,B,1st,Bangalore,301703,11506
Hyundai,2021,4,46464,Diesel,Automatic,D,1st,Mumbai,370227,11616
Mahindra,2018,7,113050,Petrol,Manual,B,3rd,Bangalore,159110,16150
Maruti,2022,3,29547,Petrol,Manual,B,1st,Pune,258543,9849
Honda,2010,15,225060,CNG,Manual,B,1st,Bangalore,98212,15004
Tata,2010,15,146535,Diesel,Manual,D,1st,Bangalore,79775,9769
Tata,2013,12,177864,Petrol,Automatic,B,3rd,Bangalore,83805,14822
Maruti,2023,2,27722,Diesel,Manual,A,1st,Ahmedabad,384241,13861
Mahindra,2012,13,213720,Diesel,Automatic,B,1st,Hyderabad,133112,16440
Maruti,2016,9,117558,Petrol,Manual,B,1st,Chennai,99887,13062
Maruti,2020,5,72940,Petrol,Manual,A,2nd,Kolkata,190226,14588
Ford,2012,13,145132,Diesel,Manual,B,2nd,Hyderabad,94586,11164
Mahindra,2010,15,162375,Petrol,Manual,B,1st,Mumbai,96796,10825
Maruti,2021,4,43340,Petrol,Automatic,C,3rd,Kolkata,186420,10835
Maruti,2020,5,41180,Diesel,Manual,D,1st,Ahmedabad,186366,8236
Maruti,2019,6,94896,Petrol,Manual,B,1st,Delhi,154156,15816
Maruti,2011,14,207942,Petrol,Automatic,B,1st,Chennai,85992,14853
Maruti,2019,6,83442,Petrol,Automatic,A,2nd,Mumbai,215574,13907
Maruti,2022,3,41085,Diesel,Manual,C,1st,Pune,274104,13695
Hyundai,2013,12,201876,Diesel,Automatic,A,3rd,Ahmedabad,130436,16823
Mahindra,2010,15,167025,Diesel,Manual,D,2nd,Delhi,80156,11135
Tata,2010,15,216705,Petrol,Manual,B,2nd,Hyderabad,66571,14447
Tata,2021,4,41400,Diesel,Manual,B,1st,Bangalore,329703,10350
Maruti,2023,2,16382,CNG,Manual,B,2nd,Mumbai,276119,8191
Renault,2017,8,110432,Petrol,Automatic,D,1st,Pune,119181,13804
Toyota,2016,9,83664,Petrol,Manual,D,1st,Bangalore,149921,9296
Toyota,2023,2,33252,Diesel,Manual,D,1st,Bangalore,441177,16626
Toyota,2017,8,118792,Petrol,Manual,C,1st,Bangalore,172204,14849
Volkswagen,2022,3,41979,Petrol,Manual,A,3rd,Chennai,352937,13993
Honda,2013,12,123012,Petrol,Automatic,B,1st,Delhi,174890,10251
Maruti,2015,10,160760,Petrol,Manual,B,1st,Bangalore,67790,16076
Tata,2022,3,31758,Petrol,Manual,C,1st,Pune,277787,10586
Mahindra,2012,13,145093,Petrol,Automatic,B,2nd,Mumbai,119240,11161
Mahindra,2020,5,43130,CNG,Manual,B,1st,Chennai,286011,8626
Honda,2022,3,30261,Petrol,Manual,A,1st,Delhi,501593,10087
Maruti,2017,8,93216,Diesel,Manual,C,3rd,Mumbai,97940,11652
Hyundai,2013,12,196212,Petrol,Manual,D,3rd,Ahmedabad,44536,16351
Volkswagen,2012,13,225095,Diesel,Manual,C,2nd,Chennai,83985,17315
Honda,2013,12,209508,Petrol,Manual,C,1st,Chennai,83721,17459
Honda,2015,10,165270,Diesel,Automatic,B,1st,Pune,179615,16527
Maruti,2020,5,49325,Diesel,Automatic,A,2nd,Kolkata,334406,9865
Hyundai,2016,9,141057,Diesel,Automatic,D,2nd,Pune,129926,15673
Ford,2016,9,84627,Petrol,Automatic,A,2nd,Delhi,186777,9403
Tata,2023,2,16998,Diesel,Automatic,A,2nd,Kolkata,584346,8499
Mahindra,2021,4,57632,Petrol,Automatic,A,2nd,Ahmedabad,450613,14408
Hyundai,2013,12,118152,Petrol,Automatic,B,2nd,Kolkata,121206,9846
Tata,2017,8,87032,Petrol,Manual,B,2nd,Ahmedabad,131826,10879
Maruti,2016,9,106686,CNG,Manual,A,1st,Pune,118738,11854
Mahindra,2011,14,141162,Petrol,Manual,D,2nd,Kolkata,68931,10083
Hyundai,2022,3,51369,Diesel,Manual,D,1st,Bangalore,279905,17123
Hyundai,2017,8,84992,Petrol,Automatic,B,2nd,Mumbai,219102,10624
Tata,2018,7,113568,Petrol,Manual,C,1st,Hyderabad,132119,16224
Volkswagen,2014,11,173184,Diesel,Automatic,C,3rd,Ahmedabad,102115,15744
Maruti,2013,12,208056,Petrol,Manual,B,1st,Ahmedabad,58651,17338
Toyota,2013,12,131388,Diesel,Manual,B,1st,Bangalore,182510,10949
Maruti,2022,3,38862,Diesel,Manual,B,1st,Kolkata,288041,12954
Hyundai,2013,12,126000,Diesel,Automatic,C,3rd,Hyderabad,123980,10500
Maruti,2015,10,142170,Diesel,Automatic,B,2nd,Ahmedabad,114801,14217
Hyundai,2020,5,75090,Petrol,Automatic,C,1st,Mumbai,281292,15018
Honda,2013,12,108588,Petrol,Manual,C,1st,Ahmedabad,110020,9049
Maruti,2016,9,78201,Petrol,Manual,B,1st,Pune,104070,8689
Honda,2016,9,100125,Petrol,Manual,A,1st,Ahmedabad,187759,11125
Volkswagen,2014,11,135311,CNG,Manual,A,1st,Hyderabad,131538,12301
Maruti,2022,3,46080,Diesel,Automatic,A,1st,Hyderabad,488879,15360
Mahindra,2014,11,108086,Diesel,Manual,A,2nd,Delhi,137068,9826
Hyundai,2019,6,91176,Diesel,Manual,B,1st,Delhi,299347,15196
Tata,2017,8,126704,Petrol,Manual,C,2nd,Pune,110476,15838
Maruti,2016,9,148131,Diesel,Manual,A,1st,Ahmedabad,129301,16459
Maruti,2023,2,18184,Diesel,Manual,B,1st,Delhi,352783,9092
Maruti,2016,9,143253,Petrol,Automatic,A,2nd,Hyderabad,124428,15917
Maruti,2015,10,163240,Diesel,Manual,B,1st,Pune,79630,16324
Maruti,2016,9,145863,Diesel,Automatic,C,1st,Hyderabad,130326,16207
Tata,2016,9,123318,Petrol,Manual,B,1st,Ahmedabad,117006,13702
Ford,2019,6,73830,Petrol,Automatic,B,2nd,Chennai,238472,12305
Toyota,2023,2,23902,Petrol,Manual,C,1st,Ahmedabad,449652,11951
Tata,2011,14,177534,Petrol,Manual,B,1st,Chennai,78564,12681
Maruti,2023,2,16944,Diesel,Manual,A,2nd,Kolkata,370519,8472
Maruti,2019,6,85890,CNG,Manual,C,1st,Delhi,145525,14315
Hyundai,2011,14,123760,Diesel,Manual,B,1st,Kolkata,129828,8840
Maruti,2023,2,30878,Diesel,Automatic,B,1st,Chennai,441278,15439
Honda,2019,6,54894,CNG,Manual,A,2nd,Bangalore,310309,9149
Honda,2016,9,132111,CNG,Automatic,B,2nd,Chennai,182253,14679
Hyundai,2023,2,23540,Petrol,Manual,C,2nd,Ahmedabad,304395,11770
Hyundai,2019,6,50886,Petrol,Manual,C,2nd,Chennai,190599,8481
Toyota,2016,9,142326,Petrol,Manual,D,2nd,Bangalore,98774,15814
Mahindra,2016,9,103347,Petrol,Manual,B,1st,Bangalore,139140,11483
Hyundai,2014,11,194150,CNG,Manual,D,2nd,Mumbai,53645,17650
Volkswagen,2010,15,168510,Petrol,Manual,B,3rd,Hyderabad,86228,11234
Renault,2023,2,22002,Diesel,Automatic,B,2nd,Hyderabad,456193,11001
Hyundai,2011,14,194866,Diesel,Manual,C,2nd,Pune,85017,13919
Hyundai,2022,3,31095,Petrol,Automatic,B,1st,Kolkata,439113,10365
Honda,2018,7,78183,Petrol,Manual,B,2nd,Delhi,219636,11169
Volkswagen,2017,8,101560,Petrol,Manual,A,1st,Pune,201131,12695
Ford,2017,8,105280,Petrol,Manual,C,1st,Mumbai,127455,13160
Maruti,2019,6,72462,Diesel,Manual,A,1st,Pune,235464,12077
Hyundai,2010,15,239055,Petrol,Automatic,B,1st,Mumbai,102571,15937
Honda,2015,10,148250,Petrol,Automatic,D,1st,Mumbai,107473,14825
Honda,2018,7,57862,Petrol,Manual,A,2nd,Kolkata,254032,8266
Maruti,2017,8,138616,Petrol,Automatic,B,1st,Mumbai,140937,17327
Toyota,2012,13,166751,Petrol,Manual,D,2nd,Kolkata,77260,12827
Tata,2013,12,198408,CNG,Automatic,B,1st,Kolkata,95176,16534
Toyota,2012,13,140504,Petrol,Manual,B,3rd,Chennai,110300,10808
Toyota,2015,10,117290,CNG,Manual,B,1st,Mumbai,140779,11729
Mahindra,2023,2,18004,Diesel,Automatic,A,2nd,Pune,663503,9002
Hyundai,2018,7,57953,Diesel,Manual,D,1st,Delhi,185728,8279
Tata,2017,8,104864,Petrol,Manual,B,1st,Ahmedabad,140780,13108
Maruti,2022,3,51465,Petrol,Manual,C,2nd,Hyderabad,188160,17155
Tata,2019,6,60414,Petrol,Automatic,B,1st,Mumbai,260724,10069
Maruti,2013,12,126840,Petrol,Manual,B,2nd,Ahmedabad,74181,10570
Tata,2011,14,192570,CNG,Manual,A,1st,Pune,92371,13755
Maruti,2022,3,50481,Petrol,Automatic,A,1st,Hyderabad,377581,16827
Maruti,2017,8,100400,Electric,Automatic,B,1st,Kolkata,182070,12550
Maruti,2017,8,122824,Diesel,Manual,B,1st,Ahmedabad,150112,15353
Maruti,2023,2,29256,Petrol,Manual,C,1st,Ahmedabad,235736,14628
Mahindra,2021,4,34436,Diesel,Manual,A,2nd,Bangalore,396208,8609
Mahindra,2020,5,78300,Petrol,Manual,B,2nd,Delhi,236283,15660
Honda,2015,10,102410,Petrol,Manual,A,2nd,Bangalore,128892,10241
Maruti,2023,2,26972,Petrol,Manual,B,3rd,Ahmedabad,231001,13486
Maruti,2017,8,128928,CNG,Manual,B,1st,Pune,115169,16116
Maruti,2018,7,123998,Petrol,Automatic,B,1st,Mumbai,187112,17714
Maruti,2022,3,43524,Diesel,Manual,B,2nd,Ahmedabad,270563,14508
Ford,2010,15,240615,Petrol,Manual,C,1st,Chennai,59338,16041
Maruti,2018,7,114513,Diesel,Manual,C,2nd,Pune,122037,16359
Hyundai,2011,14,143164,Petrol,Manual,B,1st,Chennai,104448,10226
Maruti,2023,2,20880,Petrol,Manual,A,1st,Pune,339092,10440
Maruti,2022,3,25956,Petrol,Manual,B,1st,Delhi,273021,8652
Honda,2010,15,217125,Petrol,Automatic,D,1st,Mumbai,92030,14475
Tata,2017,8,114248,Diesel,Manual,A,1st,Mumbai,192878,14281
Maruti,2017,8,141008,Petrol,Manual,C,1st,Mumbai,92255,17626
Maruti,2020,5,77850,CNG,Manual,B,1st,Mumbai,183077,15570
Hyundai,2013,12,167892,Petrol,Manual,B,1st,Ahmedabad,99439,13991
Maruti,2017,8,73976,Petrol,Manual,D,1st,Pune,88481,9247
Maruti,2016,9,86616,Petrol,Manual,D,2nd,Delhi,64802,9624
Renault,2022,3,35550,Petrol,Manual,A,2nd,Delhi,303670,11850
Tata,2011,14,150024,CNG,Automatic,C,2nd,Kolkata,84847,10716
Honda,2014,11,97064,Diesel,Manual,B,2nd,Delhi,140502,8824
Hyundai,2023,2,34560,Diesel,Manual,B,2nd,Pune,422528,17280
Hyundai,2019,6,91038,CNG,Manual,C,2nd,Chennai,183282,15173
Honda,2013,12,97080,Diesel,Automatic,D,3rd,Mumbai,110707,8090
Tata,2012,13,187642,Diesel,Manual,B,1st,Pune,101175,14434
Mahindra,2010,15,237105,Diesel,Automatic,D,1st,Bangalore,85194,15807
Maruti,2014,11,91454,Petrol,Manual,B,1st,Hyderabad,83665,8314
Honda,2019,6,75726,Diesel,Automatic,B,2nd,Delhi,385374,12621
Hyundai,2017,8,137040,Diesel,Manual,B,1st,Delhi,193589,17130
Ford,2021,4,55220,Petrol,Manual,B,1st,Pune,294204,13805
Tata,2018,7,76538,CNG,Automatic,B,2nd,Chennai,197308,10934
Honda,2016,9,128979,Petrol,Manual,B,1st,Chennai,159773,14331
Maruti,2021,4,42148,CNG,Automatic,C,2nd,Hyderabad,221362,10537
Tata,2020,5,50660,Petrol,Automatic,C,1st,Chennai,292972,10132
Maruti,2010,15,141135,Petrol,Manual,B,2nd,Pune,63964,9409
Hyundai,2010,15,217020,Petrol,Manual,A,2nd,Ahmedabad,85034,14468
Maruti,2010,15,161985,CNG,Manual,B,1st,Delhi,67175,10799
Tata,2011,14,193802,Petrol,Manual,B,1st,Mumbai,82815,13843
Maruti,2010,15,219255,Diesel,Automatic,A,1st,Mumbai,100525,14617
Hyundai,2013,12,153576,Diesel,Automatic,B,2nd,Chennai,135345,12798
Ford,2019,6,78156,Petrol,Manual,D,1st,Hyderabad,151437,13026
Maruti,2018,7,91791,Electric,Automatic,B,2nd,Kolkata,187798,13113
Honda,2021,4,35420,Petrol,Automatic,C,2nd,Mumbai,399112,8855
Hyundai,2013,12,194604,Diesel,Manual,C,1st,Delhi,86440,16217
Maruti,2022,3,44340,Petrol,Manual,A,2nd,Kolkata,247135,14780
Toyota,2013,12,184908,Petrol,Manual,C,1st,Mumbai,111001,15409
Maruti,2016,9,88362,Petrol,Automatic,B,3rd,Hyderabad,101559,9818
Hyundai,2023,2,32932,Diesel,Manual,D,1st,Kolkata,341605,16466
Honda,2020,5,58100,CNG,Automatic,A,1st,Chennai,482333,11620
Tata,2018,7,111797,Petrol,Automatic,A,3rd,Bangalore,202862,15971
Tata,2016,9,138492,Petrol,Manual,A,3rd,Kolkata,101185,15388
Maruti,2010,15,250000,Electric,Manual,A,2nd,Pune,56921,16666
Maruti,2010,15,167985,Petrol,Manual,B,1st,Mumbai,71582,11199
Mahindra,2013,12,127992,Petrol,Manual,B,2nd,Delhi,102277,10666
Honda,2013,12,205188,Petrol,Manual,B,1st,Hyderabad,101665,17099
Toyota,2010,15,194145,Petrol,Automatic,B,1st,Mumbai,159176,12943
Toyota,2015,10,105100,Diesel,Manual,A,2nd,Kolkata,196655,10510
Toyota,2019,6,58938,CNG,Automatic,B,2nd,Bangalore,403363,9823
Honda,2011,14,230258,Petrol,Manual,A,1st,Chennai,109030,16447
Hyundai,2020,5,66805,Diesel,Manual,A,2nd,Mumbai,352617,13361
Toyota,2014,11,168157,Diesel,Automatic,C,1st,Hyderabad,171949,15287
Hyundai,2017,8,121384,Petrol,Manual,A,1st,Mumbai,191148,15173
Maruti,2012,13,141960,Petrol,Manual,B,2nd,Chennai,70894,10920
Toyota,2018,7,117936,Diesel,Automatic,A,1st,Hyderabad,459169,16848
Ford,2016,9,122499,Petrol,Automatic,C,3rd,Pune,109794,13611
Hyundai,2018,7,104391,Petrol,Manual,C,2nd,Bangalore,140046,14913
Maruti,2010,15,139365,CNG,Manual,A,2nd,Delhi,72663,9291
Hyundai,2014,11,120164,Diesel,Automatic,B,3rd,Ahmedabad,136231,10924
Toyota,2021,4,62252,CNG,Manual,B,1st,Ahmedabad,429827,15563
Ford,2022,3,34902,Petrol,Manual,A,3rd,Pune,274693,11634
Maruti,2012,13,211107,Diesel,Manual,B,1st,Ahmedabad,71585,16239
Maruti,2013,12,190152,Diesel,Manual,C,2nd,Kolkata,57266,15846
Ford,2013,12,114156,Electric,Manual,A,1st,Ahmedabad,114782,9513
Hyundai,2020,5,66120,CNG,Manual,B,1st,Chennai,275554,13224
Honda,2021,4,32276,Electric,Automatic,D,2nd,Kolkata,308796,8069
Renault,2016,9,130536,CNG,Automatic,B,1st,Kolkata,150541,14504
Maruti,2019,6,77718,Petrol,Manual,D,1st,Mumbai,117054,12953
Tata,2020,5,54305,Diesel,Manual,D,1st,Bangalore,209230,10861
Maruti,2017,8,109552,Petrol,Automatic,B,2nd,Hyderabad,137661,13694
Hyundai,2020,5,65475,Diesel,Manual,B,2nd,Ahmedabad,312651,13095
Toyota,2019,6,77460,Electric,Manual,C,1st,Pune,280889,12910
Hyundai,2014,11,144815,Petrol,Manual,D,1st,Hyderabad,72335,13165
Kia,2022,3,36525,Diesel,Manual,C,1st,Hyderabad,459007,12175
Honda,2022,3,31410,Diesel,Manual,A,2nd,Kolkata,484970,10470
Hyundai,2021,4,50288,Petrol,Manual,C,2nd,Mumbai,215122,12572
Maruti,2019,6,57510,Petrol,Manual,D,2nd,Pune,109866,9585
Hyundai,2016,9,139248,Petrol,Automatic,B,2nd,Ahmedabad,150052,15472
Hyundai,2012,13,122629,Petrol,Manual,C,1st,Ahmedabad,89232,9433
Maruti,2012,13,130169,Diesel,Manual,B,3rd,Chennai,73462,10013
Hyundai,2012,13,229216,Petrol,Manual,A,2nd,Pune,80375,17632
Hyundai,2021,4,66216,Petrol,Manual,B,1st,Bangalore,322535,16554
Mahindra,2013,12,111588,CNG,Manual,A,3rd,Hyderabad,108348,9299
Tata,2015,10,92520,Diesel,Manual,C,2nd,Delhi,92939,9252
Mahindra,2014,11,170962,Petrol,Manual,B,1st,Chennai,92993,15542
Maruti,2017,8,132192,Petrol,Automatic,A,1st,Bangalore,166754,16524
Maruti,2023,2,29246,Diesel,Manual,A,1st,Ahmedabad,388599,14623
Tata,2023,2,23074,Petrol,Manual,B,2nd,Bangalore,302069,11537
Honda,2021,4,67488,Diesel,Manual,C,1st,Hyderabad,378011,16872
Maruti,2022,3,40503,Diesel,Automatic,A,1st,Delhi,491359,13501
Toyota,2014,11,113454,Petrol,Automatic,A,1st,Hyderabad,241485,10314
Mahindra,2020,5,88910,CNG,Manual,D,1st,Chennai,184376,17782
Honda,2021,4,68776,Petrol,Manual,B,2nd,Mumbai,298492,17194
Maruti,2014,11,165418,Petrol,Manual,B,3rd,Chennai,51737,15038
Mahindra,2023,2,24346,CNG,Manual,B,2nd,Kolkata,388171,12173
Honda,2019,6,52902,Petrol,Automatic,B,3rd,Delhi,306315,8817
Mahindra,2011,14,138712,Diesel,Automatic,A,2nd,Ahmedabad,167994,9908
Mahindra,2021,4,33440,Diesel,Manual,B,1st,Kolkata,404890,8360
Toyota,2020,5,81260,Petrol,Manual,B,2nd,Kolkata,294073,16252
Honda,2020,5,60510,Electric,Manual,B,1st,Mumbai,361167,12102
Maruti,2014,11,102234,Petrol,Manual,C,2nd,Pune,60727,9294
Tata,2021,4,50464,Petrol,Manual,B,2nd,Pune,239118,12616
Tata,2016,9,73908,CNG,Manual,A,2nd,Kolkata,130113,8212
Mahindra,2011,14,243320,Diesel,Automatic,C,1st,Bangalore,107072,17380
Maruti,2023,2,32844,Diesel,Manual,B,2nd,Hyderabad,326013,16422
Maruti,2022,3,44910,Diesel,Automatic,D,2nd,Kolkata,241160,14970
Ford,2015,10,168590,Petrol,Automatic,C,1st,Pune,92598,16859
Mahindra,2016,9,144657,Petrol,Automatic,A,2nd,Chennai,175458,16073
Ford,2014,11,123079,Petrol,Manual,D,2nd,Ahmedabad,56733,11189
Mahindra,2018,7,85281,CNG,Manual,C,2nd,Hyderabad,167541,12183
Honda,2023,2,27270,Petrol,Manual,D,1st,Chennai,312580,13635
Tata,2013,12,105000,Petrol,Automatic,C,1st,Hyderabad,113128,8750
Ford,2023,2,20548,Petrol,Automatic,D,2nd,Pune,295776,10274
Honda,2023,2,18534,Petrol,Manual,C,2nd,Mumbai,321100,9267
Tata,2022,3,25260,Diesel,Manual,C,2nd,Hyderabad,294114,8420
Maruti,2019,6,75156,CNG,Manual,B,1st,Ahmedabad,173391,12526
Hyundai,2010,15,140745,Petrol,Manual,D,1st,Ahmedabad,67591,9383
Mahindra,2023,2,27180,Petrol,Automatic,B,2nd,Kolkata,452836,13590
Maruti,2017,8,110656,Diesel,Automatic,C,2nd,Kolkata,143082,13832
Maruti,2017,8,93232,Petrol,Automatic,D,1st,Kolkata,112916,11654
Hyundai,2016,9,73314,CNG,Automatic,B,1st,Delhi,198056,8146
Maruti,2017,8,95072,Petrol,Manual,A,1st,Delhi,146535,11884
Maruti,2011,14,130942,Petrol,Manual,A,1st,Pune,84199,9353
Hyundai,2012,13,171249,Electric,Automatic,D,1st,Ahmedabad,94246,13173
Ford,2018,7,83188,Petrol,Automatic,C,1st,Hyderabad,215557,11884
Honda,2010,15,250000,Petrol,Manual,B,2nd,Ahmedabad,68041,16666
Maruti,2017,8,80984,Petrol,Manual,D,1st,Pune,88438,10123
Maruti,2017,8,91688,Electric,Manual,A,1st,Bangalore,146392,11461
Tata,2016,9,87957,Diesel,Automatic,A,1st,Delhi,234587,9773
Hyundai,2022,3,29220,Petrol,Manual,B,2nd,Chennai,319990,9740
Toyota,2023,2,25082,Diesel,Manual,B,1st,Pune,615387,12541
Tata,2020,5,41960,Diesel,Manual,B,3rd,Hyderabad,224052,8392
Toyota,2014,11,196515,Petrol,Automatic,C,1st,Hyderabad,137661,17865
Maruti,2013,12,96480,Diesel,Manual,A,2nd,Delhi,107731,8040
Tata,2019,6,65820,Diesel,Manual,C,2nd,Bangalore,191826,10970
Maruti,2019,6,95160,Petrol,Manual,B,1st,Chennai,164399,15860
Volkswagen,2022,3,30171,Petrol,Manual,D,3rd,Kolkata,203001,10057
Tata,2019,6,51360,Petrol,Automatic,C,1st,Kolkata,238541,8560
Hyundai,2023,2,34212,Diesel,Automatic,B,1st,Kolkata,601459,17106
Maruti,2019,6,104196,Diesel,Manual,A,1st,Kolkata,233621,17366
Maruti,2015,10,178270,Diesel,Manual,D,2nd,Ahmedabad,51227,17827
Tata,2021,4,58528,Diesel,Manual,A,1st,Delhi,388358,14632
Maruti,2020,5,77800,Diesel,Automatic,A,2nd,Delhi,317615,15560
Honda,2010,15,223095,CNG,Manual,A,1st,Kolkata,107777,14873
Maruti,2022,3,32055,Petrol,Automatic,D,2nd,Pune,204373,10685
Tata,2014,11,129382,Petrol,Manual,C,2nd,Ahmedabad,68691,11762
Toyota,2023,2,28742,Petrol,Manual,D,1st,Mumbai,391666,14371
Mahindra,2013,12,123768,Petrol,Manual,C,1st,Kolkata,99046,10314
Mahindra,2013,12,135960,Diesel,Manual,A,1st,Kolkata,156900,11330
Maruti,2016,9,106515,CNG,Manual,D,2nd,Pune,58289,11835
Maruti,2018,7,73444,Petrol,Manual,B,3rd,Delhi,122026,10492
Tata,2017,8,85056,CNG,Manual,B,1st,Chennai,157927,10632
Hyundai,2020,5,70865,Petrol,Automatic,B,2nd,Mumbai,320542,14173
Hyundai,2022,3,28845,Diesel,Manual,B,1st,Bangalore,407423,9615
Maruti,2023,2,18062,Diesel,Manual,C,1st,Ahmedabad,291255,9031
Maruti,2021,4,36768,Petrol,Automatic,B,1st,Bangalore,301829,9192
Maruti,2017,8,81592,Petrol,Automatic,A,2nd,Delhi,181142,10199
Ford,2014,11,92180,Diesel,Manual,C,1st,Chennai,117502,8380
Maruti,2015,10,155870,CNG,Automatic,B,1st,Bangalore,94091,15587
Honda,2011,14,210784,Diesel,Manual,A,2nd,Chennai,121020,15056
Maruti,2022,3,35517,Petrol,Automatic,D,3rd,Pune,170530,11839
Tata,2020,5,46750,Petrol,Manual,B,1st,Pune,228024,9350
Hyundai,2023,2,35290,Electric,Automatic,C,2nd,Chennai,370676,17645
Ford,2012,13,164918,Petrol,Manual,B,1st,Kolkata,89486,12686
